0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	29
Start Sort Mobile	ID	activeJN	Start Sort DE	Start Sort EN	StartTitel DE	StartTitel EN	Contrib DE	Contrib EN 	Sort Title DE	Title DE	Subtitle DE	Sort Title EN	Title EN	Subtitle EN	Category	Title Category DE	Title Category EN	Artist Role	Sort Artist	Name Artist	Name Artist reverse	ProjectDetails DE	ProjectDetails EN	Company Type	Company	Year	ISBN
	helga						Untertitel	Subtitles		Antwort auf den Brief von Helga			Answer to Helga’s Letter		AF			femD/masW		Scheidle Ursula/Ursula Scheidle	Ursula Scheidle/Bergsveinn Birgisson 	Autor: Bergsveinn Birgisson:: Deutsche Übersetzung aus dem Isländischen: Eleonore Gudmundsson:: Bearbeitung und Regie: Ursula Scheidle:::  Produktion: ORF, 2026::: 	Author: Bergsveinn Birgisson::Translated from Icelandic into German by Eleonore Gudmundsson:: Adapted and directed by Ursula Scheidle:::   Production company: ORF, 2026::: 	P	ORF	2026	
	bagage						Untertitel	Subtitles		Die Bagage			The Pack		AF			femD/femW		Weilenmann Elisabeth/Helfer Monika	Elisabeth Weilenmann/Monika Helfer	Autorin: Monika Helfer:: Regie: Elisabeth Weilenmann:::  Produktion: ORF, 2025::: 	Author: Monika Helfer:: Directed by Elisabeth Weilenmann:::   Production company: ORF, 2025::: 	P	ORF	2025	
	cleaning			C		Cleaning, a Cultural Technique	Buch	Book		 putzen	eine Kulturtechnik		Cleaning	a Cultural Technique	D			femA/masA		Stummerer Sonja/Hablesreiter Martin	Sonja Stummerer/Martin Hablesreiter			R	Böhlau	2026	ISBN 978-3-205-224488
	jem		J	J	Jem Cohen	Jem Cohen	Untertitel	Subtitles		Little, Big, and Far			Little, Big, and Far		M			masD		Cohen Jem	Jem Cohen			P	Little Magnet Films, Gravity Hill Films	2024	
	sky						Katalog	Catalogue		Above the River and Under the Sky			Above the River and Under the Sky		P			masA		Markowicz Maciej	Maciej Markowicz			R	Fotohof edition	2026	ISBN 978-3-903595-09-5
	float			E		Everything Begins to Float	Katalog	Catalogue		Everything Begins to Float			Everything Begins to Float		P			masA		Dezső Tamas	Tamas Dezső			R	Fotohof edition	2025	ISBN 978-3-903334-94-6
	gerti						Katalog	Catalogue		Imagination und Augenschein			Imagination und Augenschein		P			masA/femA		Trojanow Ilija/Deutsch Gerti	Ilija Trojanow/Gerti Deutsch			R	Fotohof edition	2025	ISBN 978-3-903334-89-2
	tong						Katalog	Catalogue		Krampus			Krampus		P			masA		Tong Kurt	Kurt Tong			R	Fotohof edition	2024	ISBN 978-3-903334-77-9
	motion						Katalog	Catalogue		Portraits in Motion			Portraits in Motion		P			masA		Gerling Volker	Volker Gerling			R	Fotohof edition	2022	ISBN 978-3-903334-28-1
